Topic,Count,Name,Representation,Representative_Docs
173,12,173_ele_falava_propaganda_exagero,"['ele', 'falava', 'propaganda', 'exagero', 'conta', 'contou', 'cuida', 'fez', 'diga', 'briga']","['Que você falava e falava que tinha', 'Conta pra ele o que você fez', 'E conta pra ele o que você fez']"
174,12,174_decisão_escolha_escolheu_extraordinários,"['decisão', 'escolha', 'escolheu', 'extraordinários', 'parque', 'suspense', 'planos', 'ação', 'romance', 'fizer']","['Que essa decisão que você tomou você pensou bem', 'É uma decisão', 'Ação, romance ou suspense, a escolha é sua']"
175,12,175_mf_lp_doido_oi,"['mf', 'lp', 'doido', 'oi', 'em', '', '', '', '', '']","['Doido', 'LP) (é o', 'MF']"
176,12,176_palavras_acabaram_artificiais_alcançam,"['palavras', 'acabaram', 'artificiais', 'alcançam', 'ditas', 'filtro', 'expressar', 'bastam', 'valem', 'enrolando']","['Sem palavras, tão dizendo a todo instante um pro outro', 'Que mil palavras é tão pouco pra dizer', 'Mesmo sem palavras']"
177,12,177_sorte_sortudo_manja_existir,"['sorte', 'sortudo', 'manja', 'existir', 'desconfiava', 'disfarçada', 'serviço', 'verdadeiro', 'sou', 'nossa']","['Que sorte a nossa', 'Você é a sorte e o sortudo sou eu', 'Sorte a minha, sorte a nossa']"
178,12,178_luan_lua_kyrie_eleison,"['luan', 'lua', 'kyrie', 'eleison', 'fã', 'sou', 'seu', '', '', '']","['Luan', 'Luan', 'Luan,']"
179,12,179_coxim_perfeitinha_goiânia_2t,"['coxim', 'perfeitinha', 'goiânia', '2t', 'dicen', 'lp', 'teus', 'além', 'linda', 'dela']","['Goiânia?', 'Coxim', 'LP) (2T)Linda, perfeitinha']"
180,11,180_calma_relaxa_relaxo_suspirada,"['calma', 'relaxa', 'relaxo', 'suspirada', 'tranquila', 'paz', 'caramba', 'pode', 'moça', 'pedindo']","['Cê tá pedindo calma, tô calma', 'Calma, amor', 'Calma!']"
181,11,181_água_maquiagem_prova_pedir,"['água', 'maquiagem', 'prova', 'pedir', 'mereça', 'hidro', 'churrasco', 'balde', 'segurando', 'escorrendo']","['Ela vai pedir água', ""Maquiagem à prova d'água não tá segurando"", ""Maquiagem a prova d'água""]"
182,11,182_cavalo_pasto_soltei_trota,"['cavalo', 'pasto', 'soltei', 'trota', 'montado', 'colosso', 'sarvei', 'xexéu', 'poço', 'retrato']","['Pego meu cavalo e saio pelo pasto', 'Em cima do cavalo', 'Pelo meu cavalo']"
183,11,183_dizendo_disse_aboio_cuzão,"['dizendo', 'disse', 'aboio', 'cuzão', 'jornalista', 'amador', 'via', 'cismou', 'comentário', 'contato']","['Dizendo:', 'Dizendo:', 'Dizendo:']"
184,11,184_lua_rosto_lunar_esculpir,"['lua', 'rosto', 'lunar', 'esculpir', 'puxão', 'módulo', 'nuca', 'refletindo', 'bela', 'desce']","['E esculpir o seu rosto na lua, o seu rosto na lua', 'Lua quer você aqui', 'Nem foi a lua']"
185,11,185_lembro_lembrava_nem_guardar,"['lembro', 'lembrava', 'nem', 'guardar', 'lembrar', 'recordar', 'obrigado', 'guardei', 'tirei', 'pescoço']","['Eu nem me lembro mais', 'Eu já nem lembro mais', 'Eu já nem lembro mais']"
186,10,186_verdade_sobre_sincero_reais,"['verdade', 'sobre', 'sincero', 'reais', 'sinceramente', 'verdadeiro', 'busca', 'segredo', 'seguir', 'diga']","['Mas fala a verdade', 'A verdade que está sobre mim e sobre você', 'A verdade sobre você']"
187,10,187_jogava_jukebox_papel_tocando,"['jogava', 'jukebox', 'papel', 'tocando', 'joga', 'pulava', 'marchava', 'corria', 'triz', 'time']","['Quando alguém marchava papel ele jogava', 'Quando alguém pulava papel ele jogava', 'Quando alguém corria papel ele jogava']"
