Topic,Count,Name,Representation,Representative_Docs
92,25,92_esquecer_esquece_esqueço_consegue,"['esquecer', 'esquece', 'esqueço', 'consegue', 'apanha', 'smas', 'esqueci', 'nunca', 'consegui', 'procura']","['Você não vai me esquecer', 'Você não vai me esquecer', 'Não vai me esquecer não']"
93,25,93_rosto_pele_cara_enxugue,"['rosto', 'pele', 'cara', 'enxugue', 'palmo', 'nariz', 'bronzeada', 'brigue', 'nojo', 'molhar']","['Conto os segundos pra ver o seu rosto', 'Enxugue esse rosto', 'Enxugue esse rosto']"
94,25,94_mar_maré_sentaremos_oceano,"['mar', 'maré', 'sentaremos', 'oceano', 'ao', 'água', 'beira', 'praia', 'tirou', 'levar']","['E sentaremos juntos frente ao mar', 'Ficar de boa em frente ao mar', 'O mar e ela']"
95,25,95_ainda_still_one_re,"['ainda', 'still', 'one', 're', 'the', 'you', 'ficar', 'permanecem', 'dispostos', 'travesso']","[""You're still the one that"", ""Oh, oh, you're still the one"", ""You're still the one""]"
96,24,96_assim_verdadeiramente_ditado_suíte,"['assim', 'verdadeiramente', 'ditado', 'suíte', 'pura', 'simples', 'mata', 'isso', 'tesão', 'acha']","['Mas mesmo assim', 'Mas mesmo assim', 'A mata é pura, conheço']"
97,23,97_cabelo_cabelos_maquiar_corte,"['cabelo', 'cabelos', 'maquiar', 'corte', 'pintar', 'molhado', 'preto', 'cafuné', 'reparem', 'desmanchar']","['Você com esse cabelo preto, sorriso sem jeito', 'Com esse cabelo na minha mão', 'O cabelo']"
98,23,98_todo_mundo_tomou_tudo,"['todo', 'mundo', 'tomou', 'tudo', 'menos', 'vê', 'todas', 'genuinamente', 'aproximava', 'genuína']","['Todo mundo, todo mundo vê', 'Todo mundo', 'Todo mundo, menos você (todo mundo, todo mundo, todo mundo vê)Todo mundo, menos você']"
99,23,99_fala_falo_comigo_falar,"['fala', 'falo', 'comigo', 'falar', 'faço', 'conversar', 'bebê', 'capricho', 'quinze', 'vim']","['Mas fala comigo', 'Fala comigo', 'Fala comigo']"
100,23,100_linda_beleza_sobrenome_entra,"['linda', 'beleza', 'sobrenome', 'entra', 'bonita', 'bonito', 'mãozinha', 'lindo', 'entro', 'cadê']","['Cê entra com a beleza e eu entro com o sobrenome(Cadê a mãozinha, cadê a mãozinha no céu?)(De um lado pro outro)(E a sua amiga?)Sua amiga mais chata vai falar que agora acertou', 'Cê entra com a beleza e eu com o sobrenome', 'Cê entra com a beleza e eu entro com o sobrenome']"
101,23,101_gente_moral_nós_nosso,"['gente', 'moral', 'nós', 'nosso', 'glad', 'didn', 'listen', 'levamos', 'vingou', 'pitacos']","['Cê sabe que a gente não tem moral', 'Cê sabe que a gente não tem moral', ""I'm glad we didn't listen""]"
102,22,102_fogo_fogueira_fumaça_queimar,"['fogo', 'fogueira', 'fumaça', 'queimar', 'apaga', 'gasolina', 'galão', 'palha', 'fumo', 'batida']","['Quem vai te queimar no meu fogo?', 'É que tenha fogo', 'Só que não apaga o fogo']"
103,22,103_esperando_esperar_espero_passe,"['esperando', 'esperar', 'espero', 'passe', 'esperarei', 'colibri', 'gagá', 'velhinha', 'suplicam', 'vacilada']","['Esperando por você', 'Tá esperando o que?', 'Te esperando']"
104,22,104_abraço_apertado_abraços_abraça,"['abraço', 'apertado', 'abraços', 'abraça', 'abraçar', 'alguns', 'forte', 'abraçasse', 'cabana', 'ganhasse']","['Só queria ter o seu abraço', 'Eu só queria ter o seu abraço', 'Meu abraço, meu abraço apertado']"
105,22,105_chuva_chover_clima_vento,"['chuva', 'chover', 'clima', 'vento', 'caía', 'chuvas', 'chuvada', 'cercando', 'desejando', 'chovendo']","['Sorte é tá na rua num dia de chuva', 'Banho de chuva e vento na cara', 'E lá fora a chuva']"
106,21,106_aconteceu_adiantou_como_quê,"['aconteceu', 'adiantou', 'como', 'quê', 'muié', 'aí', 'resolve', 'hein', 'sumir', 'alguma']","['E do quê que adiantou?', 'O que aconteceu?', 'O que aconteceu?']"
107,21,107_adeus_tchau_despedir_despedida,"['adeus', 'tchau', 'despedir', 'despedida', 'bilhete', 'indo', 'encontrei', 'mó', 'menina', 'canção']","['Adeus, menina da', 'Adeus,', 'Adeus']"
108,21,108_luz_luzes_vela_apaga,"['luz', 'luzes', 'vela', 'apaga', 'velas', 'acende', 'jantar', 'abajur', 'abrigar', 'acesas']","['Feito quanto apaga a luz', 'E luz acende e luz apaga', 'Só a luz da']"
109,21,109_nossos_gente_contas_brigado,"['nossos', 'gente', 'contas', 'brigado', 'fizemos', 'plantamos', 'votos', 'compramos', 'planos', 'gosta']","['Atende os nossos votos', 'Fizemos tantos planos, compramos tantas coisas', 'De todos nossos planos, nossos filhos, nosso apartamento']"
110,21,110_pessoa_outra_outros_saiba,"['pessoa', 'outra', 'outros', 'saiba', 'outro', 'transar', 'aproveitarem', 'bastasse', 'alguém', 'conheça']","['E por mais que eu saiba que cê tem outra pessoa', 'Por mais que eu saiba que cê tem outra pessoa', 'Já tem até outra pessoa']"
111,21,111_paga_ganhe_riqueza_pago,"['paga', 'ganhe', 'riqueza', 'pago', 'cobrar', 'pagar', 'dinheiro', 'gastar', 'custando', 'comanda']","['Paga de moça', 'Vai pro cê ver que cê me paga', 'Só paga']"
112,21,112_conversar_conversa_civilizada_vamos,"['conversar', 'conversa', 'civilizada', 'vamos', 'falar', 'assuntos', 'discutir', 'adultos', 'forças', 'acertar']","['Vamos conversar', 'Vamos conversar', 'E vamos conversar']"
113,21,113_pior_piorar_lamentável_má,"['pior', 'piorar', 'lamentável', 'má', 'desesperador', 'dançava', 'resistir', 'parte', 'feia', 'disfarça']","['O pior foi te perder', 'Mas ainda não sei o que é pior', 'Bem pior que eu, você']"
114,21,114_cerveja_gin_whisky_açúcar,"['cerveja', 'gin', 'whisky', 'açúcar', 'gelada', 'derrama', 'tomando', 'tomou', 'água', 'tomar']","['Cancela a cerveja, traz água com açúcar aí', 'Você e meu pai tomando cerveja', 'É cerveja gelada e eu sei que cê gosta']"
115,21,115_chão_pé_coloca_jogadas,"['chão', 'pé', 'coloca', 'jogadas', 'capim', 'catando', 'brotando', 'batido', 'caídas', 'bença']","['Quando se coloca o pé,', 'Pareço um índio de pé no chão', 'E coloque o pé, que ele vai colocar o chão']"
116,20,116_sol_nascer_sun_brilhar,"['sol', 'nascer', 'sun', 'brilhar', 'amanhecer', 'brilhou', 'drop', 'afastando', 'saído', 'dissolva']","['Sol nascer', 'Sol nascer', 'Sol nascer']"
117,20,117_embora_botou_ué_perguntam,"['embora', 'botou', 'ué', 'perguntam', 'deixaste', 'deixastes', 'deixarem', 'largaram', 'passagem', 'deixou']","['Os meus amigos perguntam que fim cê levou', 'Pensa bem, porque essa passagem é só de ida', 'Ué, porque é que cês largaram?']"
118,20,118_ex_seja_frequentemente_virou,"['ex', 'seja', 'frequentemente', 'virou', 'compara', 'puxado', 'tentou', 'opção', 'sabem', 'conheci']","['Quem é que não tem uma ex', 'Cê foi embora pra ser ex, seja ex', 'Porque seu ex agora não quer ser mais ex']"
119,20,119_paz_guerra_terminando_arrancou,"['paz', 'guerra', 'terminando', 'arrancou', 'darei', 'profundo', 'perturbando', 'sossego', 'traga', 'desses']","['Quero a minha paz', 'A paz, o amor de', 'Paz e amor']"
